ConsumerRecord(topic='ASYNC', partition=1, offset=939, timestamp=1723655112262, timestamp_type=0, key=None, value=b'Message 0 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=954, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 24 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=955, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 25 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=956, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 26 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=957, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 27 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=958, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 29 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=959, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 30 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=960, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 32 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=961, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 34 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=962, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 36 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=963, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 37 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=964, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 40 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=965, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 41 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=966, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 42 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=967, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 45 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=968, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 49 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=969, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 50 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=970, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 54 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=971, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 56 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=972, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 57 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=973, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 60 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=974, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 62 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=975, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 64 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=976, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 66 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=977, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 67 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=978, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 68 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=979, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 70 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=980, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 71 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=981, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 72 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=982, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 73 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=983, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 74 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=984, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 75 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=985, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 76 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=986, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 78 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=987, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 79 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=988, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 81 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=989, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 82 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=990, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 83 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=991, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 86 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=992, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 87 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=993, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 93 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=994, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 94 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=995, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 96 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=996, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 97 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=997, timestamp=1723655112266, timestamp_type=0, key=None, value=b'Message 99 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=998, timestamp=1723655112280, timestamp_type=0, key=None, value=b'Message 0 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=999, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 1 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1000, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 2 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1001, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 4 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1002, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 5 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1003, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 10 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1004, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 11 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1005, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 12 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1006, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 13 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1007, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 15 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1008, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 16 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1009, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 17 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1010, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 20 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1011, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 21 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1012, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 22 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1013, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 24 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1014, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 25 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1015, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 26 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1016, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 30 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1017, timestamp=1723655112281, timestamp_type=0, key=None, value=b'Message 31 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1018, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 32 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1019, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 33 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1020, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 34 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1021, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 39 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1022, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 40 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1023, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 45 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1024, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 47 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1025, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 48 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1026, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 50 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1027, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 56 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1028, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 57 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1029, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 58 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1030, timestamp=1723655112282, timestamp_type=0, key=None, value=b'Message 61 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1031, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 64 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1032, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 65 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1033, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 67 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1034, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 70 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1035, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 71 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1036, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 72 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1037, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 73 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=1, offset=1038, timestamp=1723655112283, timestamp_type=0, key=None, value=b'Message 75 from Task 2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1311, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 1 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1312, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 4 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1313, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 6 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1314, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 8 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=21, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1315, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 11 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1316, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 12 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1317, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 14 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1318, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 19 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1319, timestamp=1723655112263, timestamp_type=0, key=None, value=b'Message 22 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1320, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 28 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1321, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 31 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1322, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 33 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1323, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 35 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1324, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 38 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1325, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 39 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1326, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 43 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1327, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 44 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1328, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 46 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1329, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 47 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1330, timestamp=1723655112264, timestamp_type=0, key=None, value=b'Message 48 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1331, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 51 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1332, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 52 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1333, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 53 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
ConsumerRecord(topic='ASYNC', partition=0, offset=1334, timestamp=1723655112265, timestamp_type=0, key=None, value=b'Message 55 from Task 1', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=22, serialized_header_size=-1)
